Plot,Split,Block,Trt,Date,Weedy,Alfalfa,Ograss,Wheat,Chickweed,Other
105,N,1,1,5/25/21,1,22.88,65.02,45.62,16.45,2.69
106,N,1,2,5/25/21,1,83.66,97.22,22.88,5.52,26.48
107,N,1,3,5/25/21,0,129.12,84.74,27.82,1.51,13.52
205,N,2,2,5/25/21,0,35.92,120.68,52.48,0.76,1.4
206,N,2,1,5/25/21,0,18.31,64.72,18.31,0.14,27.42
207,N,2,3,5/25/21,0,88.5,79.2,3.14,12.64,8.41
305,N,3,2,5/25/21,0,32.91,147.68,75.76,2.26,3.38
306,N,3,3,5/25/21,1,50.06,126.02,60.9,10.75,0.73
307,N,3,1,5/25/21,0,42.62,60.89,19.34,0.25,21.43
405,N,4,3,5/25/21,1,76.7,54.8,20.5,3.4,10.2
406,N,4,2,5/25/21,1,115.94,94.04,4.2,6.53,1.77
407,N,4,1,5/25/21,0,61.09,45.28,58.85,0.15,7.66
105,S,1,1,5/25/21,0,25.92,75.84,132.72,0.46,9.02
106,S,1,2,5/25/21,0,66.2,104.08,16.82,1.04,1.79
107,S,1,3,5/25/21,1,82.9,76.39,105.24,11.99,5.22
205,S,2,2,5/25/21,1,47.23,101.24,19.23,7.79,1.28
206,S,2,1,5/25/21,1,65.74,91.42,15.38,15.19,4.11
207,S,2,3,5/25/21,1,62.94,115.73,24.95,0.99,30.2
305,S,3,2,5/25/21,1,76.48,154.17,74.61,18.6,7.8
306,S,3,3,5/25/21,0,36.1,124.66,16.02,0.72,1.09
307,S,3,1,5/25/21,1,48.76,67.23,19.13,11.64,41.08
405,S,4,3,5/25/21,0,65.53,95.62,65.48,0.87,2.83
406,S,4,2,5/25/21,0,63.23,94.36,46.06,0.31,7.43
407,S,4,1,5/25/21,1,51.32,58.17,14.6,8.65,14.27
105,N,1,1,7/6/21,1,76.7,47,1.5,0.1,0.7
106,N,1,2,7/6/21,1,91.6,67.2,6.9,0,0
107,N,1,3,7/6/21,0,162.8,52.8,0.9,0,1.4
205,N,2,2,7/6/21,0,98.2,68.2,0.4,0.1,0.1
206,N,2,1,7/6/21,0,81.2,51.2,0.5,0,9.1
207,N,2,3,7/6/21,0,151.2,64.9,11.1,0,3
305,N,3,2,7/6/21,0,84.6,59.5,1.5,0,0.3
306,N,3,3,7/6/21,1,109.2,61,0.3,0,0.1
307,N,3,1,7/6/21,0,63.4,41.1,0.7,0,2.7
405,N,4,3,7/6/21,1,124.9,36,1.3,0,0.9
406,N,4,2,7/6/21,1,122.9,60,0,0,0
407,N,4,1,7/6/21,0,84.7,72.4,0.3,0.2,3.1
105,S,1,1,7/6/21,0,84,72.5,2.4,0,1.8
106,S,1,2,7/6/21,0,141.9,72.6,1.6,0,0.6
107,S,1,3,7/6/21,1,191.8,65.9,12.3,0,0.8
205,S,2,2,7/6/21,1,142.9,76.7,1.7,0,0.1
206,S,2,1,7/6/21,1,145.5,64.2,2.2,0.5,3.5
207,S,2,3,7/6/21,1,99.8,66.5,0.6,0,2.7
305,S,3,2,7/6/21,1,98.6,55.1,0.1,0,0
306,S,3,3,7/6/21,0,89.8,46.2,0,0,0.2
307,S,3,1,7/6/21,1,69.5,46.2,0.6,0,4.3
405,S,4,3,7/6/21,0,88.9,47,1.6,0,0
406,S,4,2,7/6/21,0,99.4,65.6,0,0,0.5
407,S,4,1,7/6/21,1,36.2,64.3,0,0.2,5
105,N,1,1,8/4/21,1,77.87,24.26,0,0,0
106,N,1,2,8/4/21,1,53.75,19.31,0,0,0
107,N,1,3,8/4/21,0,97.22,20.91,0.1,0,0.11
205,N,2,2,8/4/21,0,NA,NA,NA,NA,NA
206,N,2,1,8/4/21,0,40.32,11.39,0,0,0.05
207,N,2,3,8/4/21,0,76.28,11.44,0,0,0.01
305,N,3,2,8/4/21,0,73.81,33.81,0.55,0,0.36
306,N,3,3,8/4/21,1,103.53,30.67,0,0,0
307,N,3,1,8/4/21,0,69.2,35.09,0.55,0,0.22
405,N,4,3,8/4/21,1,99.8,21.76,0.88,0,0
406,N,4,2,8/4/21,1,77.4,27.91,0,0,0
407,N,4,1,8/4/21,0,31.66,14.87,0,0,0.12
105,S,1,1,8/4/21,0,51.29,17.81,0.15,0,0.04
106,S,1,2,8/4/21,0,84,28.23,0.15,0,0.02
107,S,1,3,8/4/21,1,NA,NA,NA,NA,NA
205,S,2,2,8/4/21,1,40.9,15.27,0,0,0.05
206,S,2,1,8/4/21,1,45.24,16.4,0,0,0
207,S,2,3,8/4/21,1,68.65,25.4,0,0,0.07
305,S,3,2,8/4/21,1,70.66,33.33,0,0,0.19
306,S,3,3,8/4/21,0,64.05,30.9,0,0,0
307,S,3,1,8/4/21,1,56.03,20.48,0,0,0.04
405,S,4,3,8/4/21,0,30.55,21.4,0.26,0,0.05
406,S,4,2,8/4/21,0,56.99,30.13,0,0,0.26
407,S,4,1,8/4/21,1,54.28,38.24,0,0,1.15
105,N,1,1,10/1/21,1,96.55,47.68,0,0,0.76
106,N,1,2,10/1/21,1,63.81,52.04,0,0,0
107,N,1,3,10/1/21,0,101.39,40.59,0,0,0
205,N,2,2,10/1/21,0,50.91,36.94,0,0,0
206,N,2,1,10/1/21,0,70.18,47.14,0,0,0.12
207,N,2,3,10/1/21,0,102.65,52.75,0,0,0
305,N,3,2,10/1/21,0,46.88,37.05,0,0,0.12
306,N,3,3,10/1/21,1,46.53,18.56,0,0,0.1
307,N,3,1,10/1/21,0,72.49,24.18,0,0,0
405,N,4,3,10/1/21,1,46.2,21.82,0,0,0
406,N,4,2,10/1/21,1,50.36,35.13,0,0,0
407,N,4,1,10/1/21,0,43.86,30.94,0,0,0.05
105,S,1,1,10/1/21,0,66.86,50.74,0,0,0.53
106,S,1,2,10/1/21,0,71.38,45.56,0.16,0,0.08
107,S,1,3,10/1/21,1,127.48,58.56,0,0,0
205,S,2,2,10/1/21,1,36.85,33.91,0,0,0.04
206,S,2,1,10/1/21,1,116.29,42.15,0,0,0.12
207,S,2,3,10/1/21,1,86.74,78.77,0,0,0.03
305,S,3,2,10/1/21,1,36.74,29.8,0,0,0.08
306,S,3,3,10/1/21,0,50.29,20.9,0,0,0
307,S,3,1,10/1/21,1,136.49,41.27,0,0,0
405,S,4,3,10/1/21,0,30.36,29.41,0,0,0.35
406,S,4,2,10/1/21,0,31.87,29.94,0,0,0.24
407,S,4,1,10/1/21,1,26.75,41.08,0.02,0,0.04
